qid,gt_ans,pred_ans_blip,correctness_blip
0,Saturday night,Friday night,0
1,prognosis,propaganda,0
2,Mac Maharaj,Mac Jones,0
3,Milal Mission,Milal Mission,1
4,Milal Mission,Milal Center,0
5,early 2013,late 2013,0
6,yet to convince enough voters that he should replace the president.,is not woman ,0
7,battleground states,coastal states,0
8,Pennsylvania,Nevada,0
9,"Mr. Romney, a former governor of Massachusetts,","MR. Smith, a former governor of Arkansas",0
10,battleground states,red states,0
11,Ohio,Ohio,1
12,Thursday,Wednesday,0
13,Carey Hart,Tyler Cameron,0
14,May,March,0
15,British businessman Neil Heywood,British businessman Neil Heywood,1
16,British businessman Neil Heywood,British businessman Neil Heywood,1
17,Gu felt that...her son was facing some danger,Gu felt that...her son was facing some danger,1
18,the South Pacific,the North Pacific,0
19,talks on the heated territorial disputes between China and its neighbors over the South China Sea,eating a meal,0
20,next week,next week,1
21,Mitt Romney,Donald Trump,0
22,"Tajikistan, Turkmenistan, Uzbekistan and Kazakhstan","Tajikistan, Turkmenistan, Uzbekistan and Russia",0
23,blind lawyer Chen Guangcheng,blind student Chen Guangcheng,0
24,Prince Salman,Barack Obama,0
25,Prince Salman,Prince Salman,1
26,Paul Ryan,Joe Biden,0
27,Nikolaos Michaloliakos,Lucas Papademos,0
28,Safdarjung Hospital in New Delhi,Patna Sadar Hospital in Patna,0
29,the unnamed victim's family members,The unnamed victim's enemies,0
30,Safdarjung Hospital in New Delhi.,Max Healthcare in New Delhi.,0
31,Mitt Romney,Barack Obama,0
32,Burkina Faso,Chad,0
33,"Yusuf Batil refugee camp in Upper Nile, South Sudan","Geneva, Switzerland",0
34,Upper Nile,Northwest,0
35,Burma,Thailand,0
36,"the United States has all the ingredients to make the 21st century an “American Century,” like the 20th",the United States is doomed to fail in the 21st century,0
37,The person on the left is a local celebrity who is promoting a new brand of contraceptives in Uganda,The person on the left is a journalist who is reporting on the lack of family planning services in Uganda,0
38,"Kanungu, Uganda","Paul, Uganda",0
39,Alassane Ouattara,Laurent Gbagbo,0
40,Harry Reid,Mitch McConnell,0
41,Mitt Romney,Joe Biden,0
42,Mitt Romney,Mitt Romney,1
43,Mitt Romney,Joe Biden,0
44,Mitt Romney,Mitt Romney,1
45,Bernard Wilson at their Freetown office. (VOA - N. deVries),Fidel Castro at their Havana office. (VOA - N. deVries),0
46,Bernard Wilson,Andrew Wilson,0
47,Lola,Lola,1
48,Senator Richard Lugar,Senator George Mitchell,0
49,early Sunday,early Sunday,1
50,more than 140 kilometers,more than 150 kilometers,0
51,2002,2000,0
52,Monday,Tuesday,0
53,Paul Kagame,Paul Kagame,1
54,Great Lakes leaders,Akron,0
55,"any regional force sent into eastern Congo would complement rather than replace the United Nations peacekeepers, MONUSCO, who are already operating in the DRC.","any regional force sent into eastern Congo would replace the United Nations peacekeepers, MONUSCO, who are already operating in the DRC.",0
56,Paul Kagame,Paul Kagame,1
57,Paul Kagame,Paul Kagame,1
58,Great Lakes leaders,Akron,0
59,Great Lakes leaders,The United Nations,0
60,U.S. Ambassador Chris Stevens,U.S. Ambassador Chris Stevens,1
61,"a development forum organized by her husband, former U.S. President Bill Clinton, in conjunction with this week's meeting of the United Nations General Assembly.","a development forum organized by her husband, former U.S. President Barack Obama, in conjunction with this week's meeting of the United Nations General Assembly.",0
62,a year ago,10 years ago,0
63,Henrique Capriles,Henrique Castro,0
64,Henrique Capriles,Rafael Caldera,0
65,the Alawites,The government,0
