qid,question,origanswer,generatedanswer,correctness
250,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
251,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
252,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
253,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
254,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
255,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
256,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
257,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
258,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
259,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
260,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
261,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
262,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
263,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
264,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
265,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
266,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
267,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
268,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
269,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
270,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
271,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
272,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
273,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
274,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
275,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
276,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
277,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
278,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
279,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
280,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
281,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
282,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
283,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
284,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
285,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
286,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
287,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
288,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
289,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
290,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
291,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
292,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
293,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
294,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
295,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
296,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
297,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
298,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
299,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
300,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
301,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
302,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
303,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
304,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
305,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
306,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
307,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
308,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
309,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
310,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
311,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
312,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
313,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
314,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
315,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
316,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
317,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
318,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
319,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
320,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
321,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
322,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
323,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
324,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
325,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
326,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
327,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
328,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
329,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
330,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
331,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
332,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
333,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
334,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
335,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
336,State whether or not the information provided in the passage is true for the given image [0].,0,0,1
337,State whether or not the information provided in the passage is true for the given image [0].,1,0,0
338,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
339,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
340,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
341,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
342,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
343,State whether or not the information provided in the passage is true for the given image [0].,1,1,1
344,State whether or not the information provided in the passage is true for the given image [0].,0,1,0
