qid,gt_ans,pred_ans_blip,correctness_blip
0,Image [0],Image [0],1
1,Image [1],Image [0],0
2,Image [0],Image [0],1
3,Image [1],Image [0],0
4,Image [1],Image [0],0
5,Image [0],Image [0],1
6,Image [0],Image [0],1
7,Image [1],Image [0],0
8,Image [1],Image [1],1
9,Image [0],Image [0],1
10,Image [1],Image [0],0
11,Image [0],Image [0],1
12,Image [0],Image [0],1
13,Image [1],Image [0],0
14,Image [1],Image [0],0
15,Image [1],Image [0],0
16,Image [0],Image [0],1
17,Image [0],Image [0],1
18,Image [0],Image [0],1
19,Image [0],Image [0],1
20,Image [0],Image [0],1
21,Image [0],Image [0],1
22,Image [0],Image [0],1
23,Image [1],Image [0],0
24,Image [1],Image [0],0
25,Image [1],Image [0],0
26,Image [1],Image [0],0
27,Image [0],Image [0],1
28,Image [1],Image [0],0
29,Image [0],Image [0],1
30,Image [1],Image [0],0
31,Image [1],Image [1],1
32,Image [0],Image [1],0
33,Image [1],Image [0],0
34,Image [1],Image [0],0
35,Image [1],Image [0],0
36,Image [1],Image [0],0
37,Image [0],Image [0],1
38,Image [0],Image [0],1
39,Image [1],Image [1],1
40,Image [1],Image [0],0
41,Image [0],Image [0],1
42,Image [1],Image [0],0
43,Image [0],Image [0],1
44,Image [0],Image [0],1
45,Image [0],Image [0],1
46,Image [0],Image [0],1
47,Image [0],Image [0],1
48,Image [0],Image [0],1
49,Image [1],Image [1],1
50,Image [0],Image [0],1
51,Image [1],Image [0],0
52,Image [0],Image [0],1
53,Image [1],Image [0],0
54,Image [0],Image [0],1
55,Image [0],Image [0],1
56,Image [0],Image [0],1
57,Image [0],Image [0],1
58,Image [1],Image [0],0
59,Image [1],Image [0],0
60,Image [1],Image [0],0
61,Image [0],Image [0],1
62,Image [1],Image [0],0
63,Image [0],Image [0],1
64,Image [0],Image [0],1
65,Image [1],Image [0],0
66,Image [0],Image [0],1
67,Image [0],Image [0],1
68,Image [0],Image [0],1
69,Image [0],Image [0],1
70,Image [1],Image [0],0
71,Image [0],Image [0],1
72,Image [1],Image [1],1
73,Image [0],Image [0],1
74,Image [1],Image [0],0
75,Image [0],Image [0],1
76,Image [0],Image [0],1
77,Image [0],Image [0],1
78,Image [0],Image [0],1
79,Image [0],Image [0],1
80,Image [1],Image [1],1
81,Image [1],Image [0],0
82,Image [0],Image [0],1
83,Image [1],Image [0],0
84,Image [0],Image [0],1
85,Image [1],Image [0],0
86,Image [0],Image [0],1
87,Image [0],Image [0],1
88,Image [0],Image [0],1
89,Image [0],Image [0],1
90,Image [1],Image [1],1
91,Image [1],Image [1],1
92,Image [1],Image [0],0
93,Image [1],Image [0],0
94,Image [0],Image [0],1
95,Image [1],Image [0],0
96,Image [0],Image [0],1
97,Image [1],Image [0],0
98,Image [0],Image [0],1
99,Image [0],Image [0],1
100,Image [0],Image [0],1
101,Image [1],Image [0],0
102,Image [1],Image [0],0
103,Image [0],Image [0],1
104,Image [1],Image [1],1
105,Image [0],Image [0],1
106,Image [1],Image [0],0
107,Image [1],Image [0],0
108,Image [1],Image [0],0
109,Image [1],Image [0],0
110,Image [0],Image [0],1
111,Image [0],Image [0],1
112,Image [1],Image [0],0
113,Image [0],Image [0],1
114,Image [1],Image [1],1
115,Image [0],Image [0],1
116,Image [0],Image [0],1
117,Image [1],Image [0],0
118,Image [1],Image [0],0
119,Image [1],Image [1],1
120,Image [1],Image [0],0
121,Image [0],Image [0],1
122,Image [1],Image [0],0
123,Image [0],Image [0],1
124,Image [1],Image [0],0
125,Image [1],Image [0],0
126,Image [1],Image [0],0
127,Image [1],Image [0],0
128,Image [0],Image [0],1
129,Image [0],Image [0],1
130,Image [1],Image [0],0
131,Image [0],Image [0],1
132,Image [0],Image [0],1
133,Image [1],Image [0],0
134,Image [0],Image [0],1
135,Image [0],Image [0],1
136,Image [1],Image [0],0
137,Image [1],Image [0],0
138,Image [0],Image [0],1
139,Image [0],Image [0],1
140,Image [0],Image [0],1
141,Image [1],Image [0],0
142,Image [0],Image [0],1
143,Image [0],Image [0],1
144,Image [0],Image [0],1
145,Image [0],Image [0],1
146,Image [0],Image [0],1
147,Image [0],Image [0],1
148,Image [0],Image [0],1
149,Image [1],Image [0],0
150,Image [0],Image [0],1
151,Image [0],Image [1],0
152,Image [1],Image [0],0
153,Image [0],Image [0],1
154,Image [1],Image [0],0
155,Image [0],Image [0],1
156,Image [0],Image [0],1
157,Image [0],Image [0],1
158,Image [0],Image [0],1
159,Image [1],Image [1],1
160,Image [1],Image [0],0
161,Image [1],Image [0],0
162,Image [0],Image [0],1
163,Image [1],Image [0],0
164,Image [0],Image [0],1
165,Image [0],Image [0],1
166,Image [1],Image [0],0
167,Image [1],Image [1],1
168,Image [1],Image [0],0
169,Image [1],Image [0],0
170,Image [1],Image [0],0
171,Image [0],Image [1],0
172,Image [0],Image [0],1
173,Image [1],Image [0],0
174,Image [1],Image [0],0
175,Image [0],Image [0],1
176,Image [1],Image [0],0
177,Image [0],Image [0],1
178,Image [0],Image [0],1
179,Image [1],Image [0],0
180,Image [1],Image [0],0
181,Image [0],Image [0],1
182,Image [0],Image [0],1
183,Image [1],Image [0],0
184,Image [0],Image [0],1
185,Image [0],Image [0],1
186,Image [0],Image [0],1
187,Image [1],Image [0],0
188,Image [0],Image [0],1
189,Image [0],Image [1],0
190,Image [1],Image [0],0
191,Image [0],Image [0],1
192,Image [1],Image [0],0
193,Image [1],Image [0],0
194,Image [0],Image [0],1
195,Image [1],Image [1],1
196,Image [1],Image [0],0
197,Image [1],Image [0],0
198,Image [0],Image [0],1
199,Image [1],Image [0],0
200,Image [0],Image [1],0
201,Image [0],Image [0],1
202,Image [0],Image [0],1
203,Image [0],Image [0],1
204,Image [0],Image [0],1
205,Image [1],Image [0],0
206,Image [1],Image [0],0
207,Image [0],Image [0],1
208,Image [1],Image [0],0
209,Image [1],Image [0],0
210,Image [1],Image [0],0
211,Image [0],Image [1],0
212,Image [0],Image [0],1
213,Image [1],Image [0],0
214,Image [1],Image [0],0
215,Image [1],Image [0],0
216,Image [1],Image [0],0
217,Image [0],Image [0],1
218,Image [0],Image [0],1
219,Image [1],Image [0],0
220,Image [1],Image [0],0
221,Image [1],Image [0],0
222,Image [0],Image [0],1
223,Image [0],Image [0],1
224,Image [1],Image [0],0
225,Image [0],Image [0],1
226,Image [1],Image [0],0
227,Image [1],Image [0],0
228,Image [1],Image [0],0
229,Image [0],Image [0],1
230,Image [0],Image [0],1
231,Image [1],Image [0],0
232,Image [1],Image [0],0
233,Image [1],Image [0],0
234,Image [0],Image [1],0
235,Image [0],Image [1],0
236,Image [0],Image [0],1
237,Image [0],Image [0],1
238,Image [1],Image [0],0
239,Image [0],Image [0],1
240,Image [1],Image [0],0
241,Image [1],Image [0],0
242,Image [1],Image [0],0
243,Image [1],Image [0],0
244,Image [0],Image [0],1
245,Image [0],Image [0],1
246,Image [0],Image [0],1
247,Image [1],Image [0],0
248,Image [0],Image [0],1
249,Image [0],Image [0],1
250,Image [0],Image [0],1
251,Image [0],Image [0],1
252,Image [0],Image [0],1
253,Image [1],Image [0],0
254,Image [1],Image [0],0
255,Image [1],Image [1],1
256,Image [0],Image [0],1
257,Image [0],Image [0],1
258,Image [1],Image [0],0
259,Image [0],Image [0],1
260,Image [1],Image [0],0
261,Image [0],Image [0],1
262,Image [1],Image [0],0
263,Image [1],Image [0],0
264,Image [0],Image [0],1
265,Image [0],Image [0],1
266,Image [1],Image [0],0
267,Image [0],Image [0],1
268,Image [0],Image [0],1
269,Image [0],Image [0],1
270,Image [1],Image [1],1
271,Image [1],Image [0],0
272,Image [1],Image [0],0
273,Image [0],Image [0],1
274,Image [1],Image [1],1
275,Image [1],Image [0],0
276,Image [1],Image [0],0
277,Image [1],Image [0],0
278,Image [1],Image [0],0
279,Image [1],Image [0],0
280,Image [1],Image [0],0
281,Image [1],Image [0],0
282,Image [0],Image [0],1
283,Image [1],Image [0],0
284,Image [1],Image [0],0
285,Image [0],Image [0],1
286,Image [1],Image [0],0
287,Image [1],Image [0],0
288,Image [1],Image [0],0
289,Image [0],Image [0],1
290,Image [1],Image [0],0
291,Image [1],Image [0],0
292,Image [0],Image [0],1
293,Image [0],Image [0],1
294,Image [1],Image [1],1
295,Image [0],Image [0],1
296,Image [1],Image [0],0
297,Image [0],Image [1],0
298,Image [1],Image [0],0
299,Image [0],Image [0],1
300,Image [0],Image [0],1
301,Image [1],Image [0],0
302,Image [0],Image [0],1
303,Image [1],Image [0],0
304,Image [0],Image [0],1
305,Image [0],Image [0],1
306,Image [1],Image [0],0
307,Image [1],Image [0],0
308,Image [0],Image [0],1
309,Image [0],Image [0],1
310,Image [1],Image [0],0
311,Image [1],Image [0],0
312,Image [0],Image [0],1
313,Image [1],Image [0],0
314,Image [0],Image [0],1
315,Image [0],Image [0],1
316,Image [0],Image [0],1
317,Image [1],Image [0],0
318,Image [0],Image [1],0
319,Image [0],Image [0],1
320,Image [1],Image [0],0
321,Image [0],Image [0],1
322,Image [1],Image [1],1
323,Image [0],Image [0],1
324,Image [0],Image [0],1
325,Image [0],Image [0],1
326,Image [0],Image [0],1
327,Image [0],Image [0],1
328,Image [0],Image [0],1
329,Image [1],Image [0],0
330,Image [0],Image [0],1
331,Image [0],Image [0],1
332,Image [1],Image [0],0
333,Image [0],Image [0],1
334,Image [1],Image [0],0
335,Image [1],Image [0],0
336,Image [1],Image [0],0
337,Image [1],Image [0],0
338,Image [0],Image [0],1
339,Image [0],Image [0],1
340,Image [0],Image [0],1
341,Image [1],Image [0],0
342,Image [0],Image [0],1
343,Image [0],Image [0],1
344,Image [1],Image [0],0
345,Image [1],Image [0],0
346,Image [1],Image [0],0
347,Image [0],Image [1],0
348,Image [0],Image [0],1
349,Image [0],Image [0],1
350,Image [1],Image [0],0
351,Image [0],Image [0],1
352,Image [0],Image [0],1
353,Image [0],Image [0],1
354,Image [0],Image [0],1
