index,fileid,qid,question,origanswer,generatedanswer,correctness
0,2,10524522,Choose the correct order of the events?,3,0,0
1,2,10524535,Choose the correct order of the events?,0,2,0
2,2,10524564,Choose the correct order of the events?,3,3,1
3,2,10524716,Choose the correct order of the events?,1,3,0
4,2,10524717,Choose the correct order of the events?,2,3,0
5,2,10524719,Choose the correct order of the events?,1,1,1
6,2,10524725,Choose the correct order of the events?,1,3,0
7,2,10524750,Choose the correct order of the events?,3,2,0
8,2,1052480,Choose the correct order of the events?,0,0,1
9,2,10524884,Choose the correct order of the events?,3,2,0
10,2,10525102,Choose the correct order of the events?,2,3,0
11,2,10525466,Choose the correct order of the events?,2,2,1
12,2,10525707,Choose the correct order of the events?,0,3,0
13,2,10525899,Choose the correct order of the events?,3,3,1
14,2,10526038,Choose the correct order of the events?,1,0,0
15,2,10526263,Choose the correct order of the events?,3,3,1
16,2,10527048,Choose the correct order of the events?,0,3,0
17,2,10527080,Choose the correct order of the events?,2,1,0
18,2,10527203,Choose the correct order of the events?,1,3,0
19,2,10527336,Choose the correct order of the events?,0,1,0
20,2,10527421,Choose the correct order of the events?,3,0,0
21,2,10528062,Choose the correct order of the events?,0,3,0
22,2,10528209,Choose the correct order of the events?,2,1,0
23,2,10529410,Choose the correct order of the events?,0,3,0
24,2,10529506,Choose the correct order of the events?,3,3,1
25,2,10529507,Choose the correct order of the events?,2,2,1
26,2,10529585,Choose the correct order of the events?,1,0,0
27,2,10529590,Choose the correct order of the events?,0,3,0
28,2,10529595,Choose the correct order of the events?,0,2,0
29,2,10529598,Choose the correct order of the events?,0,1,0
30,2,10529602,Choose the correct order of the events?,2,1,0
31,2,10529604,Choose the correct order of the events?,0,0,1
32,2,10529610,Choose the correct order of the events?,3,2,0
33,2,10529616,Choose the correct order of the events?,2,2,1
34,2,10529633,Choose the correct order of the events?,1,0,0
35,2,10529634,Choose the correct order of the events?,1,0,0
36,2,10529636,Choose the correct order of the events?,3,3,1
37,2,10529641,Choose the correct order of the events?,3,2,0
38,2,10529643,Choose the correct order of the events?,1,1,1
39,2,10529714,Choose the correct order of the events?,0,0,1
40,2,10529874,Choose the correct order of the events?,3,0,0
41,2,10530132,Choose the correct order of the events?,0,0,1
42,2,10530188,Choose the correct order of the events?,1,1,1
43,2,105301,Choose the correct order of the events?,1,1,1
44,2,10530216,Choose the correct order of the events?,2,0,0
45,2,1053041,Choose the correct order of the events?,2,1,0
46,2,10530800,Choose the correct order of the events?,2,2,1
47,2,10530806,Choose the correct order of the events?,1,0,0
48,2,1053155,Choose the correct order of the events?,3,0,0
49,2,10531630,Choose the correct order of the events?,0,3,0
50,2,10531863,Choose the correct order of the events?,2,1,0
51,2,1053196,Choose the correct order of the events?,3,0,0
52,2,1053197,Choose the correct order of the events?,2,2,1
53,2,1053199,Choose the correct order of the events?,1,2,0
54,2,1053200,Choose the correct order of the events?,1,3,0
55,2,1053204,Choose the correct order of the events?,0,1,0
56,2,1053205,Choose the correct order of the events?,1,2,0
57,2,10532088,Choose the correct order of the events?,0,3,0
58,2,10532352,Choose the correct order of the events?,0,3,0
59,2,10532396,Choose the correct order of the events?,3,3,1
60,2,10532441,Choose the correct order of the events?,0,1,0
61,2,10532460,Choose the correct order of the events?,2,0,0
62,2,10532875,Choose the correct order of the events?,0,3,0
63,2,10532911,Choose the correct order of the events?,3,1,0
64,2,10533376,Choose the correct order of the events?,1,2,0
65,2,1053341,Choose the correct order of the events?,0,0,1
66,2,10533432,Choose the correct order of the events?,3,0,0
67,2,1053354,Choose the correct order of the events?,0,3,0
68,2,10533609,Choose the correct order of the events?,1,2,0
69,2,10533795,Choose the correct order of the events?,2,2,1
70,2,1053441,Choose the correct order of the events?,3,3,1
71,2,1053446,Choose the correct order of the events?,3,0,0
72,2,10534645,Choose the correct order of the events?,3,1,0
73,2,10534662,Choose the correct order of the events?,0,1,0
74,2,1053541,Choose the correct order of the events?,3,0,0
75,2,1053583,Choose the correct order of the events?,0,3,0
